time_s,phase,phase_elapsed_s,cmd_x,cmd_y,cmd_yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,joint_vel_abs_max,action_abs_max,action_saturation_frac,target_delta_abs_max,left_contact,right_contact,min_voltage,sum_abs_current,obs_finite,action_finite,missed_deadline
0.00016021728515625,stand_pre,0.00016021728515625,0.0,0.0,0.0,-0.3948807432637171,-0.3108867730114899,-0.2378011105842274,-0.39,-1.97,8.94,0.0,0.906342089176178,0.0,0.10876104980707169,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.021058082580566406,stand_pre,0.021058082580566406,0.0,0.0,0.0,-0.1712604328519436,-0.21162117180431245,-0.20289452554434081,-0.1,-1.71,9.73,0.0,0.8973438739776611,0.0,0.01654208078980446,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.04162716865539551,stand_pre,0.04162716865539551,0.0,0.0,0.0,-0.001090830782496456,0.0,0.002181661564992912,-0.22,-0.25,9.24,0.307,0.8641564846038818,0.0,0.013542801141738892,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.06229138374328613,stand_pre,0.06229138374328613,0.0,0.0,0.0,0.1407171709420428,-0.001090830782496456,0.002181661564992912,-0.2,-0.32,9.1,1.151,0.871349573135376,0.0,0.007659119670279324,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.08284950256347656,stand_pre,0.08284950256347656,0.0,0.0,0.0,-0.11671889372712078,-0.11344640137963143,0.050178215994836975,1.53,-0.4,7.08,1.304,0.8672143816947937,0.0,0.013187840580940247,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.10333824157714844,stand_pre,0.10333824157714844,0.0,0.0,0.0,-0.6523168079328807,-0.3534291735288517,0.08072147790473774,1.93,0.1,9.48,1.381,0.8705794215202332,0.0,0.008054200559854507,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.12381744384765625,stand_pre,0.12381744384765625,0.0,0.0,0.0,-0.8977537339945832,-0.37960911230876665,0.06544984694978735,0.36,-0.29,8.94,1.458,0.8748147487640381,0.0,0.00394149124622345,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.14418458938598633,stand_pre,0.14418458938598633,0.0,0.0,0.0,-0.9119345341670372,-0.6359543461954338,0.619591884457987,0.68,-0.04,8.6,0.844,0.8446929454803467,0.0,0.012816732632927597,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.164642333984375,stand_pre,0.164642333984375,0.0,0.0,0.0,-0.7035858547102141,-0.5945027764605685,0.9893835197242855,0.68,-0.04,8.6,0.614,0.8151573538780212,0.0,0.010322585701942444,1.0,1.0,7.5,0.24500000000000002,True,True,False
0.18514728546142578,stand_pre,0.18514728546142578,0.0,0.0,0.0,-0.3948807432637171,0.05999569303730508,1.102829921103917,0.68,-0.04,8.6,0.384,0.8186367154121399,0.0,0.034348767541814595,1.0,1.0,7.5,0.24500000000000002,True,True,False
