time_s,phase,phase_elapsed_s,cmd_x,cmd_y,cmd_yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,joint_vel_abs_max,action_abs_max,action_saturation_frac,target_delta_abs_max,left_contact,right_contact,min_voltage,sum_abs_current,obs_finite,action_finite,missed_deadline
0.00011181831359863281,stand_pre,0.00011181831359863281,0.0,0.0,0.0,0.3425208657038872,-0.12217304763960307,-0.41233403578366035,0.02,0.25,7.75,0.0,0.6295788884162903,0.0,0.07554946839809418,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.02073049545288086,stand_pre,0.02073049545288086,0.0,0.0,0.0,0.39051742013373125,-0.16907877128695067,-0.32179508083645453,0.02,0.25,7.75,0.0,0.5955997109413147,0.0,0.028691411018371582,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.04111909866333008,stand_pre,0.04111909866333008,0.0,0.0,0.0,-0.003272492347489368,-0.002181661564992912,-0.002181661564992912,-0.38,-0.37,9.25,0.307,0.6102142333984375,0.0,0.03434139536693692,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.06148719787597656,stand_pre,0.06148719787597656,0.0,0.0,0.0,0.001090830782496456,-0.00545415391248228,0.001090830782496456,-0.37,-0.38,9.26,0.767,0.8083191514015198,0.0,0.044636502861976624,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.08194589614868164,stand_pre,0.08194589614868164,0.0,0.0,0.0,0.007635815477475192,-0.04690572364734761,0.009817477042468103,0.35000000000000003,-0.47000000000000003,9.05,1.151,0.8813354969024658,0.0,0.017889462411403656,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.10233092308044434,stand_pre,0.10233092308044434,0.0,0.0,0.0,0.015271630954950384,-0.2923426497090502,0.00545415391248228,1.35,-0.36,9.39,1.534,0.8257951736450195,0.0,0.01669912421493791,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.12270426750183105,stand_pre,0.12270426750183105,0.0,0.0,0.0,0.07963064712224129,-0.36760997370130566,0.15271630954950383,0.45,-0.32,8.26,1.074,0.7119264602661133,0.0,0.024573687463998795,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.14314627647399902,stand_pre,0.14314627647399902,0.0,0.0,0.0,0.27379852640661045,-0.41015237421866746,0.19198621771937624,0.14,-0.17,7.86,1.074,0.7378829121589661,0.0,0.05025810282677412,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.16368579864501953,stand_pre,0.16368579864501953,0.0,0.0,0.0,0.2814343418840856,0.025089107997418487,-0.14508049407202864,-0.71,-1.24,9.61,0.614,0.6935765147209167,0.0,0.03474222030490637,1.0,1.0,7.4,0.30400000000000005,True,True,False
0.18407630920410156,stand_pre,0.18407630920410156,0.0,0.0,0.0,0.3239767424014474,0.09708393964218458,-0.08726646259971647,-1.52,-2.06,9.31,0.307,0.7087897658348083,0.0,0.013403938151896,1.0,1.0,7.4,0.30400000000000005,True,True,False
