time_s,phase,phase_elapsed_s,cmd_x,cmd_y,cmd_yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,joint_vel_abs_max,action_abs_max,action_saturation_frac,target_delta_abs_max,left_contact,right_contact,min_voltage,sum_abs_current,obs_finite,action_finite,missed_deadline
0.0002586841583251953,stand_pre,0.0002586841583251953,0.0,0.0,0.0,-0.2748893571891069,0.24652775684419906,-1.5904312808798329,1.86,-0.93,8.34,0.0,0.8297894597053528,0.0,0.16595789790153503,1.0,1.0,8.0,0.094,True,True,True
0.059052467346191406,stand_pre,0.059052467346191406,0.0,0.0,0.0,-0.4854196982109229,0.21707532571679475,-1.7246034671268968,1.76,-1.03,8.58,0.077,0.8261132836341858,0.0,0.08197339065372944,1.0,1.0,8.0,0.094,True,True,False
0.07953238487243652,stand_pre,0.07953238487243652,0.0,0.0,0.0,0.14289883250703572,-0.001090830782496456,0.0,1.82,-0.35000000000000003,9.25,0.384,0.811266303062439,0.0,0.08516186475753784,1.0,1.0,8.0,0.094,True,True,False
0.10007262229919434,stand_pre,0.10007262229919434,0.0,0.0,0.0,0.0,-0.002181661564992912,0.0,0.54,-0.27,9.21,1.6110000000000002,0.829321563243866,0.0,0.04886175226420164,1.0,1.0,8.0,0.094,True,True,False
0.12051916122436523,stand_pre,0.12051916122436523,0.0,0.0,0.0,-0.02945243112740431,-0.001090830782496456,-0.018544123302439753,0.55,0.53,8.34,1.995,0.8424617052078247,0.0,0.02744818478822708,1.0,0.0,8.0,0.094,True,True,False
0.1411130428314209,stand_pre,0.1411130428314209,0.0,0.0,0.0,-0.49632800603588745,-0.19853120241435498,-0.15489797111449674,1.54,-1.31,9.48,1.918,0.8790363073348999,0.0,0.036238159984350204,1.0,1.0,8.0,0.094,True,True,False
0.16175270080566406,stand_pre,0.16175270080566406,0.0,0.0,0.0,-1.2075496762235767,-0.6086835766330224,0.06326818538479445,1.81,0.46,5.3,2.071,0.8508681654930115,0.0,0.019878716673702,1.0,1.0,8.0,0.094,True,True,False
0.1821277141571045,stand_pre,0.1821277141571045,0.0,0.0,0.0,-1.437714971330329,-0.8966629032120869,0.5934119456780721,1.22,-1.26,5.19,1.304,0.8304335474967957,0.0,0.03233384410850704,1.0,1.0,8.0,0.094,True,True,False
0.2025156021118164,stand_pre,0.2025156021118164,0.0,0.0,0.0,-1.6635169433070953,-1.2010046915285981,0.9522952731194061,1.22,-1.26,5.19,0.537,0.8162065744400024,0.0,0.03194298967719078,1.0,1.0,8.0,0.094,True,True,False
0.22294163703918457,stand_pre,0.22294163703918457,0.0,0.0,0.0,-1.2577278922184136,-0.9708393964218458,1.174824752748683,1.22,-1.26,5.19,0.537,0.8123764395713806,0.0,0.016447503119707108,1.0,1.0,8.0,0.094,True,True,False
0.24387478828430176,stand_pre,0.24387478828430176,0.0,0.0,0.0,-0.5366887449882564,-0.2476185876266955,1.1442814908387824,1.22,-1.26,5.19,0.6899999999999998,0.8192192316055298,0.0,0.061058991588652134,1.0,1.0,7.8,0.278,True,True,False
0.2642505168914795,stand_pre,0.2642505168914795,0.0,0.0,0.0,-0.21707532571679475,-0.037088246604879506,0.8344855486097889,1.54,-1.52,8.65,0.844,0.8372008204460144,0.0,0.05162743479013443,0.0,1.0,7.8,0.278,True,True,False
0.28462791442871094,stand_pre,0.28462791442871094,0.0,0.0,0.0,-0.2530727415391778,0.11017390903214205,-0.37088246604879505,1.54,-1.52,8.65,0.767,0.8911005258560181,0.0,0.07524402812123299,1.0,1.0,7.8,0.278,True,True,False
0.30509018898010254,stand_pre,0.30509018898010254,0.0,0.0,0.0,-0.031634092692397225,0.4243331743911214,-0.5606870222031783,2.25,-2.57,7.88,0.6899999999999998,0.9043842554092407,0.0,0.027887485921382904,1.0,1.0,7.8,0.278,True,True,False
0.3255627155303955,stand_pre,0.3255627155303955,0.0,0.0,0.0,0.17780541754692233,0.20289452554434081,-0.6948592084502424,2.2600000000000002,-2.5500000000000003,8.14,0.537,0.9226453900337219,0.0,0.01251240074634552,1.0,1.0,7.8,0.278,True,True,False
0.34604740142822266,stand_pre,0.34604740142822266,0.0,0.0,0.0,0.16907877128695067,0.459239759431008,-0.8999353955595761,-0.67,-3.39,8.620000000000001,0.537,0.9344814419746399,0.0,0.031497322022914886,1.0,1.0,7.8,0.278,True,True,False
0.3665332794189453,stand_pre,0.3665332794189453,0.0,0.0,0.0,0.19416787928436915,0.6446809924554054,-0.9021170571245691,-0.88,-2.2800000000000002,7.67,0.6899999999999998,0.9421907067298889,0.0,0.014156028628349304,1.0,1.0,7.8,0.278,True,True,False
0.3869495391845703,stand_pre,0.3869495391845703,0.0,0.0,0.0,0.04690572364734761,-0.14180800172453928,-0.4908738521234052,-0.88,-2.2800000000000002,7.67,0.6899999999999998,0.9210966229438782,0.0,0.04240041226148605,1.0,1.0,7.8,0.278,True,True,False
0.4073371887207031,stand_pre,0.4073371887207031,0.0,0.0,0.0,-0.12980886311707826,0.07963064712224129,0.16035212502697901,2.98,-4.18,7.58,0.6899999999999998,0.8816674947738647,0.0,0.04068437218666077,1.0,1.0,7.8,0.278,True,True,False
0.427814245223999,stand_pre,0.427814245223999,0.0,0.0,0.0,-0.02181661564992912,0.17671458676442586,1.1868238913561442,-1.1500000000000001,-4.54,8.22,0.9210000000000002,0.8540984988212585,0.0,0.055328454822301865,1.0,1.0,7.8,0.278,True,True,False
0.44818592071533203,stand_pre,0.44818592071533203,0.0,0.0,0.0,0.1908953869368798,0.21598449493429828,2.3681936287998058,0.56,-3.63,6.65,0.537,0.835745632648468,0.0,0.06691578030586243,1.0,1.0,7.9,0.638,True,True,False
0.46855831146240234,stand_pre,0.46855831146240234,0.0,0.0,0.0,0.16144295580947549,-0.0272707695624114,2.572178985126643,0.56,-3.63,6.65,0.46,0.8553360104560852,0.0,0.02497342973947525,1.0,1.0,7.9,0.638,True,True,False
0.48894405364990234,stand_pre,0.48894405364990234,0.0,0.0,0.0,0.20398535632683726,0.2879793265790644,2.0682151636132806,0.56,-3.63,6.65,0.767,0.8344717025756836,0.0,0.03964995592832565,1.0,1.0,7.9,0.638,True,True,False
0.5093295574188232,stand_pre,0.5093295574188232,0.0,0.0,0.0,0.1439896632895322,0.543233729683235,1.2849986617808251,-1.12,0.38,8.47,0.9970000000000001,0.8713237047195435,0.0,0.046474799513816833,1.0,1.0,7.9,0.638,True,True,False
0.5297079086303711,stand_pre,0.5297079086303711,0.0,0.0,0.0,-0.05672320068981571,0.5988660995905544,0.6174102228929941,-0.66,1.09,8.59,1.381,0.8435009717941284,0.0,0.02525169402360916,1.0,1.0,7.9,0.638,True,True,False
0.5501651763916016,stand_pre,0.5501651763916016,0.0,0.0,0.0,-0.16144295580947549,0.4636030825609938,-0.36760997370130566,-0.66,1.09,8.59,0.767,0.8855875134468079,0.0,0.03601791709661484,1.0,1.0,7.9,0.638,True,True,False
0.5705547332763672,stand_pre,0.5705547332763672,0.0,0.0,0.0,-0.025089107997418487,0.806123948264881,-0.5377795757707527,-1.45,-3.22,7.930000000000001,0.614,0.8895328044891357,0.0,0.010936722159385681,1.0,1.0,7.9,0.638,True,True,False
0.5910019874572754,stand_pre,0.5910019874572754,0.0,0.0,0.0,0.15162547876700738,0.4723297288209654,-0.4439681284760576,-0.31,-3.88,9.32,0.537,0.893899142742157,0.0,0.01175137609243393,1.0,1.0,7.9,0.638,True,True,False
0.6114063262939453,stand_pre,0.6114063262939453,0.0,0.0,0.0,0.29343348049154666,0.4385139745635753,-0.15817046346198613,-0.68,-2.95,8.540000000000001,0.46,0.8986515998840332,0.0,0.00856037437915802,1.0,1.0,7.9,0.638,True,True,False
0.6317894458770752,stand_pre,0.6317894458770752,0.0,0.0,0.0,0.4657847441259867,0.36324665057131983,0.16035212502697901,-0.68,-2.95,8.540000000000001,0.537,0.8939829468727112,0.0,0.010332494974136353,1.0,1.0,7.9,0.638,True,True,False
0.6521596908569336,stand_pre,0.6521596908569336,0.0,0.0,0.0,0.46142142099600086,0.3490658503988659,0.5355979142057599,1.31,-0.8,8.35,0.767,0.8772515058517456,0.0,0.010164603590965271,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.6725146770477295,stand_pre,0.6725146770477295,0.0,0.0,0.0,0.35452000431134817,0.37742745074377376,0.7341291166201148,0.3,0.9500000000000001,9.040000000000001,0.307,0.8761798143386841,0.0,0.011484958231449127,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.6929621696472168,stand_pre,0.6929621696472168,0.0,0.0,0.0,0.33161255787892263,0.4985096676008804,0.6490443155853913,0.3,0.9500000000000001,9.040000000000001,0.23,0.8818458914756775,0.0,0.004353776574134827,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.7133419513702393,stand_pre,0.7133419513702393,0.0,0.0,0.0,0.23889194136672387,0.6239552075879728,0.19853120241435498,-1.71,1.83,9.58,0.384,0.900290310382843,0.0,0.010578595101833344,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.7337098121643066,stand_pre,0.7337098121643066,0.0,0.0,0.0,0.14726215563702155,0.7046766854927106,-0.15817046346198613,-1.04,0.63,8.25,0.384,0.9037075042724609,0.0,0.010207295417785645,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.7540888786315918,stand_pre,0.7540888786315918,0.0,0.0,0.0,0.11126473981463851,0.5541420375081997,-0.3196134192714616,-1.04,0.63,8.25,0.23,0.9079116582870483,0.0,0.0070724040269851685,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.7744576930999756,stand_pre,0.7744576930999756,0.0,0.0,0.0,0.019634954084936207,0.36979163526629855,-0.5159629601208237,-1.1,-1.03,8.870000000000001,0.153,0.909054160118103,0.0,0.008584387600421906,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.7948284149169922,stand_pre,0.7948284149169922,0.0,0.0,0.0,0.04690572364734761,0.3687008044838021,-0.43196898986859655,-1.04,-1.69,8.41,0.153,0.9109196662902832,0.0,0.0026278942823410034,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.8152065277099609,stand_pre,0.8152065277099609,0.0,0.0,0.0,0.0272707695624114,0.25416357232167425,-0.2781618495365963,-0.87,-2.19,9.25,0.153,0.9114547371864319,0.0,0.006045445799827576,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.8355734348297119,stand_pre,0.8355734348297119,0.0,0.0,0.0,-0.015271630954950384,0.1832595714594046,-0.1407171709420428,-1.69,-2.42,8.94,0.23,0.9099856615066528,0.0,0.007383450865745544,1.0,1.0,7.9,0.23200000000000004,True,True,False
0.8559377193450928,stand_pre,0.8559377193450928,0.0,0.0,0.0,0.06544984694978735,0.04036073895236887,0.09599310885968812,-1.6400000000000001,-1.71,8.85,0.077,0.9129905104637146,0.0,0.007528916001319885,1.0,1.0,7.9,0.201,True,True,False
0.8763167858123779,stand_pre,0.8763167858123779,0.0,0.0,0.0,0.09708393964218458,-0.003272492347489368,0.16471544815696484,-2.02,-0.66,8.620000000000001,0.077,0.9136505126953125,0.0,0.0045812129974365234,1.0,1.0,7.9,0.201,True,True,False
0.8966796398162842,stand_pre,0.8966796398162842,0.0,0.0,0.0,0.08072147790473774,-0.11017390903214205,0.1439896632895322,-1.53,-0.14,8.53,0.153,0.9155378341674805,0.0,0.00564371794462204,1.0,1.0,7.9,0.201,True,True,False
0.9171555042266846,stand_pre,0.9171555042266846,0.0,0.0,0.0,0.011999138607461015,-0.21271200258680892,0.039269908169872414,-1.43,-0.02,8.84,0.153,0.9179831147193909,0.0,0.005587249994277954,1.0,1.0,7.9,0.201,True,True,False
0.9375207424163818,stand_pre,0.9375207424163818,0.0,0.0,0.0,-0.09708393964218458,-0.3119776037939864,-0.015271630954950384,-1.26,-0.62,8.92,0.153,0.9189903140068054,0.0,0.004007235169410706,1.0,1.0,7.9,0.201,True,True,False
0.9578921794891357,stand_pre,0.9578921794891357,0.0,0.0,0.0,-0.2083486794568231,-0.3763366199612773,0.0272707695624114,-1.05,-0.91,9.3,0.153,0.9192261695861816,0.0,0.002434857189655304,1.0,1.0,7.9,0.201,True,True,False
0.9782781600952148,stand_pre,0.9782781600952148,0.0,0.0,0.0,-0.28034351110158917,-0.4188790204786391,0.08835729338221293,-0.8300000000000001,-1.37,9.14,0.23,0.9180377125740051,0.0,0.0019365623593330383,1.0,1.0,7.9,0.201,True,True,False
